 207.483947	1.22117778	1.13035994	1.12619606
 207.554535	1.22196009	1.13114112	1.12697718
 207.625148	1.22274224	1.13192215	1.12775815
 207.695784	1.22352422	1.13270302	1.12853897
 207.766445	1.22430604	1.13348374	1.12931963
 207.837129	1.22508769	1.13426430	1.13010014
 207.907838	1.22586918	1.13504471	1.13088049
 207.978571	1.22665051	1.13582497	1.13166069
 208.049327	1.22743167	1.13660507	1.13244074
 208.120108	1.22821267	1.13738501	1.13322063
 208.190913	1.22899350	1.13816480	1.13400037
 208.261742	1.22977416	1.13894443	1.13477995
 208.332595	1.23055466	1.13972391	1.13555937
 208.403472	1.23133500	1.14050323	1.13633864
 208.474373	1.23211516	1.14128240	1.13711776
 208.545299	1.23289517	1.14206141	1.13789672
 208.616248	1.23367500	1.14284026	1.13867552
 208.687222	1.23445467	1.14361896	1.13945417
 208.758220	1.23523417	1.14439750	1.14023266
 208.829242	1.23601350	1.14517588	1.14101099
 208.900288	1.23679267	1.14595411	1.14178917
 208.971358	1.23757167	1.14673218	1.14256719
 209.042453	1.23835050	1.14751009	1.14334505
 209.113571	1.23912916	1.14828784	1.14412275
 209.184714	1.23990766	1.14906544	1.14490030
 209.255881	1.24068598	1.14984287	1.14567769
 209.327073	1.24146414	1.15062015	1.14645492
 209.398288	1.24224213	1.15139727	1.14723200
 209.469528	1.24301995	1.15217423	1.14800891
 209.540792	1.24379760	1.15295103	1.14878567
 209.612080	1.24457508	1.15372767	1.14956227
 209.683392	1.24535239	1.15450416	1.15033870
 209.754729	1.24612953	1.15528048	1.15111498
 209.826090	1.24690651	1.15605664	1.15189110
 209.897475	1.24768331	1.15683265	1.15266706
 209.968885	1.24845994	1.15760849	1.15344286
 210.040319	1.24923639	1.15838417	1.15421851
 210.111777	1.25001268	1.15915969	1.15499399
 210.183260	1.25078880	1.15993505	1.15576931
 210.254766	1.25156474	1.16071025	1.15654446
 210.326297	1.25234052	1.16148529	1.15731946
 210.397853	1.25311612	1.16226017	1.15809430
 210.469433	1.25389155	1.16303488	1.15886898
 210.541037	1.25466681	1.16380943	1.15964349
 210.612665	1.25544189	1.16458383	1.16041784
 210.684318	1.25621680	1.16535805	1.16119203
 210.755995	1.25699154	1.16613212	1.16196606
 210.827697	1.25776611	1.16690602	1.16273993
 210.899423	1.25854050	1.16767976	1.16351363
 210.971174	1.25931472	1.16845334	1.16428717
 211.042948	1.26008876	1.16922676	1.16506055
 211.114748	1.26086263	1.17000001	1.16583377
 211.186571	1.26163633	1.17077309	1.16660682
 211.258419	1.26240985	1.17154602	1.16737971
 211.330292	1.26318320	1.17231878	1.16815243
 211.402189	1.26395637	1.17309137	1.16892500
 211.474111	1.26472937	1.17386380	1.16969739
 211.546056	1.26550219	1.17463607	1.17046963
 211.618027	1.26627483	1.17540817	1.17124169
 211.690022	1.26704730	1.17618010	1.17201360
 211.762041	1.26781960	1.17695187	1.17278534
 211.834085	1.26859171	1.17772347	1.17355691
 211.906154	1.26936365	1.17849491	1.17432832
 211.978246	1.27013542	1.17926618	1.17509956
 212.050364	1.27090701	1.18003729	1.17587064
 212.122506	1.27167842	1.18080823	1.17664155
 212.194672	1.27244965	1.18157900	1.17741229
 212.266864	1.27322070	1.18234961	1.17818287
 212.339079	1.27399158	1.18312005	1.17895328
 212.411319	1.27476228	1.18389032	1.17972353
 212.483584	1.27553280	1.18466042	1.18049361
 212.555874	1.27630314	1.18543036	1.18126352
 212.628188	1.27707331	1.18620013	1.18203326
 212.700526	1.27784329	1.18696973	1.18280284
 212.772889	1.27861310	1.18773916	1.18357225
 212.845277	1.27938272	1.18850843	1.18434149
 212.917690	1.28015217	1.18927752	1.18511056
 212.990127	1.28092143	1.19004645	1.18587946
 213.062588	1.28169052	1.19081521	1.18664820
 213.135075	1.28245943	1.19158380	1.18741676
 213.207586	1.28322815	1.19235221	1.18818516
 213.280121	1.28399670	1.19312046	1.18895339
 213.352682	1.28476506	1.19388854	1.18972145
 213.425267	1.28553325	1.19465645	1.19048934
 213.497877	1.28630125	1.19542419	1.19125705
 213.570511	1.28706907	1.19619176	1.19202460
 213.643170	1.28783670	1.19695915	1.19279198
 213.715854	1.28860416	1.19772638	1.19355919
 213.788563	1.28937143	1.19849344	1.19432623
 213.861296	1.29013853	1.19926032	1.19509309
 213.934054	1.29090543	1.20002703	1.19585979
 214.006837	1.29167216	1.20079357	1.19662631
 214.079645	1.29243870	1.20155994	1.19739266
 214.152477	1.29320506	1.20232614	1.19815885
 214.225334	1.29397124	1.20309216	1.19892485
 214.298216	1.29473723	1.20385801	1.19969069
 214.371123	1.29550304	1.20462369	1.20045635
 214.444054	1.29626866	1.20538919	1.20122185
 214.517011	1.29703410	1.20615452	1.20198716
 214.589992	1.29779935	1.20691968	1.20275231
 214.662998	1.29856442	1.20768467	1.20351728
 214.736029	1.29932931	1.20844948	1.20428208
 214.809085	1.30009401	1.20921411	1.20504671
 214.882165	1.30085852	1.20997858	1.20581116
 214.955271	1.30162285	1.21074286	1.20657544
 215.028401	1.30238699	1.21150698	1.20733954
 215.101556	1.30315094	1.21227091	1.20810347
 215.174736	1.30391471	1.21303468	1.20886722
 215.247941	1.30467829	1.21379826	1.20963080
 215.321171	1.30544169	1.21456168	1.21039421
 215.394426	1.30620490	1.21532491	1.21115743
 215.467705	1.30696792	1.21608797	1.21192049
 215.541010	1.30773075	1.21685085	1.21268337
 215.614339	1.30849339	1.21761356	1.21344607
 215.687694	1.30925585	1.21837609	1.21420859
 215.761073	1.31001812	1.21913845	1.21497094
 215.834478	1.31078020	1.21990062	1.21573311
 215.907907	1.31154209	1.22066262	1.21649511
 215.981362	1.31230379	1.22142444	1.21725693
 216.054841	1.31306530	1.22218609	1.21801857
 216.128345	1.31382663	1.22294755	1.21878003
 216.201875	1.31458776	1.22370884	1.21954132
 216.275429	1.31534871	1.22446995	1.22030243
 216.349008	1.31610946	1.22523088	1.22106336
 216.422613	1.31687002	1.22599163	1.22182411
 216.496242	1.31763040	1.22675221	1.22258468
 216.569897	1.31839058	1.22751260	1.22334508
 216.643577	1.31915057	1.22827281	1.22410529
 216.717281	1.31991037	1.22903285	1.22486533
 216.791011	1.32066998	1.22979270	1.22562519
 216.864766	1.32142939	1.23055238	1.22638487
 216.938546	1.32218862	1.23131187	1.22714436
 217.012351	1.32294765	1.23207119	1.22790368
 217.086181	1.32370649	1.23283032	1.22866282
 217.160036	1.32446514	1.23358927	1.22942178
 217.233916	1.32522360	1.23434804	1.23018055
 217.307822	1.32598186	1.23510663	1.23093915
 217.381753	1.32673993	1.23586504	1.23169757
 217.455708	1.32749780	1.23662327	1.23245580
 217.529689	1.32825548	1.23738131	1.23321385
 217.603695	1.32901297	1.23813918	1.23397172
 217.677727	1.32977027	1.23889686	1.23472941
 217.751783	1.33052737	1.23965435	1.23548692
 217.825865	1.33128427	1.24041167	1.23624424
 217.899972	1.33204098	1.24116880	1.23700138
 217.974104	1.33279750	1.24192575	1.23775834
 218.048261	1.33355381	1.24268251	1.23851512
 218.122444	1.33430994	1.24343909	1.23927171
 218.196652	1.33506587	1.24419549	1.24002812
 218.270885	1.33582160	1.24495170	1.24078434
 218.345143	1.33657714	1.24570773	1.24154038
 218.419426	1.33733248	1.24646357	1.24229624
 218.493735	1.33808762	1.24721923	1.24305191
 218.568069	1.33884256	1.24797471	1.24380740
 218.642429	1.33959731	1.24872999	1.24456271
 218.716813	1.34035187	1.24948510	1.24531783
 218.791223	1.34110622	1.25024002	1.24607276
 218.865659	1.34186038	1.25099475	1.24682751
 218.940119	1.34261434	1.25174929	1.24758207
 219.014605	1.34336810	1.25250365	1.24833645
 219.089117	1.34412166	1.25325782	1.24909064
 219.163653	1.34487502	1.25401181	1.24984465
 219.238215	1.34562819	1.25476561	1.25059846
 219.312803	1.34638115	1.25551922	1.25135210
 219.387416	1.34713392	1.25627265	1.25210554
